variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.293,7, 5.55e-17, 7.93e-18, 1.55e-17, 0.293 +  0 t, 1
OCNFRAC,fraction,0.67,7, 0.000569, 8.13e-05, 0.000159, 0.429 +  0.00012 t, 0.345
CLDHGH,fraction,0.327,7, 0.00133, 0.000191, 0.000374, 1.2 + -0.000437 t, 0.11
CLDLOW,fraction,0.415,7, 0.00185, 0.000265, 0.000519,-0.211 +  0.000313 t, 0.458
CLDMED,fraction,0.218,7, 0.000828, 0.000118, 0.000232, 0.991 + -0.000387 t, 0.00204
CLDTOT,fraction,0.618,7, 0.00148, 0.000212, 0.000415, 0.795 + -8.85e-05 t, 0.799
FLNS,W/m2,54.580,7, 0.279, 0.040, 0.078, 188.225 + -0.067 t, 0.276
FLNT,W/m2,241.219,7, 0.320, 0.046, 0.089, 95.542 +  0.073 t, 0.304
FLNTC,W/m2,262.373,7, 0.219, 0.031, 0.061, 189.765 +  0.036 t, 0.468
FSNS,W/m2,166.757,7, 0.454, 0.065, 0.127, 327.719 + -0.081 t, 0.435
FSNT,W/m2,243.895,7, 0.254, 0.036, 0.071, 385.597 + -0.071 t, 0.192
FSNTC,W/m2,285.825,7, 0.090, 0.013, 0.025, 304.582 + -0.009 t, 0.654
LHFLX,W/m2,88.148,7, 0.310, 0.044, 0.087,-44.428 +  0.066 t, 0.338
LWCF,W/m2,21.154,7, 0.119, 0.017, 0.033, 94.222 + -0.037 t, 0.144
OMEGA500,Pa/s,-3.93e-05,7, 2.5e-06, 3.57e-07, 6.99e-07,-0.000861 +  4.11e-07 t, 0.471
PBLH,m,724.337,7, 1.995, 0.285, 0.559, 1724.607 + -0.500 t, 0.251
PRECL,m/s,2.12e-08,7, 1.58e-10, 2.26e-11, 4.43e-11,-1.04e-07 +  6.26e-11 t, 0.0338
PRECT,m/s,3.52e-08,7, 1.3e-10, 1.85e-11, 3.63e-11,-2.33e-08 +  2.93e-11 t, 0.308
PRECSL,m/s,2.87e-09,7, 5.12e-11, 7.32e-12, 1.43e-11,-1.41e-08 +  8.49e-12 t, 0.468
PRECSC,m/s,4.52e-11,7, 1.93e-12, 2.76e-13, 5.41e-13,-4.2e-10 +  2.33e-13 t, 0.603
PRECSC,m/s,4.52e-11,7, 1.93e-12, 2.76e-13, 5.41e-13,-4.2e-10 +  2.33e-13 t, 0.603
PRECC,m/s,1.4e-08,7, 7.86e-11, 1.12e-11, 2.2e-11, 8.06e-08 + -3.33e-11 t, 0.0161
PS,Pa,98528.693,7, 2.344, 0.335, 0.656, 97859.846 +  0.335 t, 0.535
PSL,Pa,101107.714,7, 2.393, 0.342, 0.670, 100699.273 +  0.204 t, 0.714
QFLX,kg/m2/s,3.52e-05,7, 1.24e-07, 1.77e-08, 3.48e-08,-1.74e-05 +  2.64e-08 t, 0.342
SHFLX,W/m2,20.440,7, 0.132, 0.019, 0.037,-73.343 +  0.047 t, 0.072
SST,K,292.927,7, 0.079, 0.011, 0.022, 283.310 +  0.005 t, 0.796
SWCF,W/m2,-41.921,7, 0.209, 0.030, 0.058, 80.928 + -0.061 t, 0.164
TAUX,N/m2,-0.00398,7, 0.000492, 7.02e-05, 0.000138,-0.197 +  9.64e-05 t, 0.384
TAUY,N/m2,-0.00212,7, 0.000448, 6.4e-05, 0.000126,-0.377 +  0.000188 t, 0.0187
TGCLDIWP,kg/m2,0.00925,7, 0.000153, 2.18e-05, 4.28e-05, 0.0945 + -4.27e-05 t, 0.192
TGCLDLWP,kg/m2,0.0546,7, 0.000519, 7.41e-05, 0.000145,-0.246 +  0.00015 t, 0.173
TMQ,kg/m2,24.417,7, 0.239, 0.034, 0.067,-43.206 +  0.034 t, 0.538
TREFHT,K,287.467,7, 0.110, 0.016, 0.031, 265.481 +  0.011 t, 0.666
TS,K,288.360,7, 0.107, 0.015, 0.030, 268.944 +  0.010 t, 0.697
U10,m/s,6.889,7, 0.030, 0.004, 0.008,-14.593 +  0.011 t, 0.071
ICEFRAC,fraction,0.0373,7, 0.000569, 8.13e-05, 0.000159, 0.278 + -0.00012 t, 0.345
RESTOM,W/m2,2.676,7, 0.483, 0.069, 0.135, 290.054 + -0.144 t, 0.159
